;TripID;Questionnaire;Income;Gender;Age;Occupation;Education;HouseHoldSize;HouseHold16;driversLicense;carAvail;OriginLoc;DestLoc;Origin;Destination;startActiv;endActiv;tripStart_time;tripEnd_time;tripDuration;mode;TripDay;realTravelTime.Walk;realShortestDistance.Walk;realTransfer.Walk;realTravelTime.Car;realShortestDistance.Car;realTransfer.Car;realTravelTime.MrC;realShortestDistance.MrC;realTransfer.MrC;realTravelTime.Bus;realShortestDistance.Bus;realTransfer.Bus;realAccessWalkTime.Bus;realAccessWalkDist.Bus;realEgressWalkTime.Bus;realEgressWalkDist.Bus;realWaitingTime.Bus;EdPrimary;EdHighSchool;EdLyceum;EdUniversity;EdMSc;EdPhD;EdNoEducation;endMunic1;endMunic2;endMunic3;endMunic4;endMunic5;endMunic6;endMunic7;endMunic8;endMunic9;endMunic10;endMunic11;startMunic1;startMunic2;startMunic3;startMunic4;startMunic5;startMunic6;startMunic7;startMunic8;startMunic9;startMunic10;startMunic11;endHome;endWork;endLeisure;endShopping;endHealthActivities;endSports;endOther;startHome;startWork;startLeisure;startShopping;startHealthActivities;startSports;startOther;startPersonalActivities;Unemployed;Retired;Employed;Houseworks;Unemployed_other;Student;InZone
11;9469;4350;<10000;Male;25-34;Employed;University;1;1;1;FALSE;3;4;603;213;OtherMeetings;Work;16:30:00;17:00:00;30;Walk;Πέμπτη;6239;8464;0;1287;8418;0;1287;8418;0;2579;1287;2;305;496;127;130;NA;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NA
12;5345;2422;ΔΞ/ΔΑ;Female;55-64;Retired;HighSchool;4;4;1;TRUE;2;3;199;705;Shopping;Home;12:00:00;12:15:00;15;Walk;Τρίτη;6156;8412;0;965;8437;0;965;8437;0;2068;965;1;310;408;68;95;NA;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;NA
13;5344;2422;ΔΞ/ΔΑ;Female;55-64;Retired;HighSchool;4;4;1;TRUE;1;2;705;199;Home;Shopping;10:00:00;10:10:00;10;Walk;Τρίτη;6148;8412;0;798;8412;0;798;8412;0;1564;798;2;68;95;110;153;NA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;NA
14;6368;2898;10000-20000;Female;55-64;Retired;University;2;2;0;TRUE;1;2;208;605;Home;Shopping;8:00:00;8:20:00;20;Walk;Πέμπτη;6003;7730;0;1308;7973;0;1308;7973;0;2012;1308;2;105;150;303;384;NA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;NA
15;5313;2409;ΔΞ/ΔΑ;Male;65+;Retired;Lyceum;2;2;1;TRUE;2;3;174;313;Sports;Home;11:20:00;12:35:00;75;Walk;Τρίτη;5970;7801;0;1105;11926;0;1105;11926;0;1875;1105;1;192;248;423;521;NA;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;NA
16;6369;2898;10000-20000;Female;55-64;Retired;University;2;2;0;TRUE;2;3;605;208;Shopping;Home;8:40:00;9:00:00;20;Walk;Πέμπτη;5879;7757;0;1334;13244;0;1334;13244;0;1834;1334;2;297;350;213;275;NA;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;NA
17;5312;2409;ΔΞ/ΔΑ;Male;65+;Retired;Lyceum;2;2;1;TRUE;1;2;313;174;Home;Sports;10:00:00;11:15:00;75;Walk;Τρίτη;5873;7801;0;1305;12618;0;1305;12618;0;2125;1305;1;85;122;132;182;NA;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;NA
18;6980;3198;ΔΞ/ΔΑ;Female;35-44;Employed;Lyceum;3;2;1;TRUE;3;4;225;519;Shopping;Home;20:50:00;21:00:00;10;Walk;Παρασκευή;5822;7391;0;1144;10162;0;1144;10162;0;2396;1144;2;44;65;79;79;NA;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NA
19;6887;3154;10000-20000;Male;65+;Retired;University;2;2;0;TRUE;1;2;701;706;Home;Sports;9:00:00;9:15:00;15;Walk;Παρασκευή;5690;7718;0;925;8362;0;925;8362;0;2361;925;2;206;285;461;604;NA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;NA
20;6978;3198;ΔΞ/ΔΑ;Female;35-44;Employed;Lyceum;3;2;1;TRUE;1;2;519;226;Home;Leisure;18:30:00;18:50:00;20;Walk;Παρασκευή;5537;7453;0;960;14931;0;960;14931;0;2810;960;2;297;493;169;203;NA;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;NA
21;506;266;20000-30000;Female;55-64;Retired;PrimarySchool;2;2;1;TRUE;1;2;918;282;Home;PersonalActivities;9:00:00;9:20:00;20;Walk;Τρίτη;5427;7423;0;664;9680;0;664;9680;0;1596;664;1;143;194;362;522;NA;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;NA
22;5589;2529;<10000;Female;45-54;Unemployed;Lyceum;1;1;1;FALSE;2;3;107;526;PersonalActivities;Home;15:00:00;15:10:00;10;Walk;Τετάρτη;5260;6733;0;1194;7166;0;1194;7166;0;3160;1194;1;361;516;219;300;NA;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;NA
23;595;305;<10000;Female;65+;Houseworks;PrimarySchool;2;2;1;FALSE;1;2;707;709;Home;Other;8:30:00;8:40:00;10;Walk;Τρίτη;5227;6890;0;879;8128;0;879;8128;0;2280;879;2;64;94;187;192;NA;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;NA
24;8520;3896;ΔΞ/ΔΑ;Male;45-54;Employed;MSc;4;4;1;TRUE;5;6;198;526;Home;ChangeMode;17:40:00;18:00:00;20;Walk;Τετάρτη;5138;6348;0;1052;8309;0;1052;8309;0;2945;1052;1;678;929;70;117;NA;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;NA
25;8516;3896;ΔΞ/ΔΑ;Male;45-54;Employed;MSc;4;4;1;TRUE;1;2;198;526;Home;ChangeMode;6:30:00;6:40:00;10;Walk;Τετάρτη;5138;6348;0;1052;8309;0;1052;8309;0;2945;1052;1;678;929;70;117;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;NA
26;3122;1426;ΔΞ/ΔΑ;Female;35-44;Unemployed_other;University;4;2;0;TRUE;6;7;711;907;PickSomebody;Home;20:15:00;20:30:00;15;Walk;Σάββατο;4731;6984;0;761;7377;0;761;7377;0;2583;761;1;557;765;729;927;NA;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;NA
27;6888;3154;10000-20000;Male;65+;Retired;University;2;2;0;TRUE;2;3;706;916;Sports;Home;9:45:00;10:00:00;15;Walk;Παρασκευή;4725;6386;0;717;6483;0;717;6483;0;2196;717;2;85;124;105;149;NA;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;NA
28;8519;3896;ΔΞ/ΔΑ;Male;45-54;Employed;MSc;4;4;1;TRUE;4;5;526;198;ChangeMode;Home;14:35:00;15:00:00;25;Walk;Τετάρτη;4546;6347;0;1128;6647;0;1128;6647;0;2626;1128;1;1815;6840;811;1057;NA;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NA
29;8523;3896;ΔΞ/ΔΑ;Male;45-54;Employed;MSc;4;4;1;TRUE;8;9;526;198;ChangeMode;Home;23:20:00;23:40:00;20;Walk;Τετάρτη;4546;6347;0;1128;6647;0;1128;6647;0;2626;1128;1;1815;6840;811;1057;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NA
30;5668;2560;<10000;Female;35-44;Employed;University;3;1;1;TRUE;1;2;633;112;Home;PersonalActivities;9:00:00;10:30:00;90;Walk;Τετάρτη;4418;5919;0;903;6448;0;903;6448;0;1817;903;2;900;3830;216;274;NA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;NA
31;5669;2560;<10000;Female;35-44;Employed;University;3;1;1;TRUE;2;3;112;633;PersonalActivities;Home;11:30:00;13:00:00;90;Walk;Τετάρτη;4362;5919;0;937;6014;0;937;6014;0;1692;937;2;319;447;262;325;NA;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;NA
32;4200;1908;10000-20000;Male;65+;Retired;PrimarySchool;2;2;1;TRUE;2;3;718;716;Sports;Home;12:05:00;13:15:00;70;Walk;Δευτέρα;4147;5603;0;561;5658;0;561;5658;0;1319;561;1;648;866;199;293;NA;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;NA
33;4189;1902;ΔΞ/ΔΑ;Female;65+;Retired;PrimarySchool;2;2;0;FALSE;1;2;716;937;Home;Other;8:00:00;8:15:00;15;Walk;Δευτέρα;4079;5074;0;505;5517;0;505;5517;0;1095;505;2;222;376;35;44;NA;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;NA
34;4199;1908;10000-20000;Male;65+;Retired;PrimarySchool;2;2;1;TRUE;1;2;716;718;Home;Sports;11:00:00;12:00:00;60;Walk;Δευτέρα;4064;5620;0;527;5700;0;527;5700;0;1400;527;1;104;152;648;913;NA;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;NA
35;507;266;20000-30000;Female;55-64;Retired;PrimarySchool;2;2;1;TRUE;2;3;282;105;PersonalActivities;Shopping;13:00:00;13:45:00;45;Walk;Τρίτη;4003;5256;0;996;5256;0;996;5256;0;2070;996;1;91;118;464;539;NA;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;NA
36;1077;539;<10000;Male;55-64;Retired;Lyceum;5;5;1;TRUE;4;5;174;911;Leisure;Home;15:00:00;15:45:00;45;Walk;Τετάρτη;3958;5035;0;810;5061;0;810;5061;0;1953;810;2;760;4402;349;443;NA;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;NA
37;1054;530;10000-20000;Male;55-64;Retired;University;2;2;0;FALSE;2;3;117;250;PersonalActivities;Home;12:00:00;13:30:00;90;Walk;Τετάρτη;3734;4660;0;928;5238;0;928;5238;0;1613;928;1;283;388;298;292;NA;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;NA
38;7509;3452;<10000;Male;35-44;Unemployed;HighSchool;3;3;1;TRUE;2;3;171;215;Sports;Home;11:00:00;12:00:00;60;Walk;Σάββατο;3680;4817;0;792;5165;0;792;5165;0;1618;792;1;1306;4714;312;427;NA;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;NA
39;7508;3452;<10000;Male;35-44;Unemployed;HighSchool;3;3;1;TRUE;1;2;215;171;Home;Sports;10:00:00;11:00:00;60;Walk;Σάββατο;3662;4817;0;1025;5736;0;1025;5736;0;1461;1025;1;188;265;153;148;NA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;NA
40;4190;1902;ΔΞ/ΔΑ;Female;65+;Retired;PrimarySchool;2;2;0;FALSE;2;3;937;716;Other;Home;9:35:00;9:45:00;10;Walk;Δευτέρα;3528;5073;0;552;5669;0;552;5669;0;1422;552;2;36;46;408;397;NA;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;NA
41;9178;4217;<10000;Female;65+;Retired;PrimarySchool;1;1;0;FALSE;2;3;519;632;PersonalActivities;OtherMeetings;10:30:00;10:40:00;10;Walk;Πέμπτη;3495;4878;0;806;5270;0;806;5270;0;2826;806;1;402;662;201;258;NA;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;NA
42;6910;3164;10000-20000;Female;45-54;Employed;University;1;1;1;TRUE;2;3;174;215;Work;Home;15:30:00;16:05:00;35;Walk;Παρασκευή;3432;4532;0;735;5102;0;735;5102;0;1541;735;1;381;504;221;309;NA;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;NA
43;4693;2145;<10000;Female;45-54;Unemployed;Lyceum;4;4;1;TRUE;4;5;187;621;Leisure;Home;23:30:00;23:55:00;25;Walk;Δευτέρα;3377;4421;0;974;5153;0;974;5153;0;1627;974;2;400;493;202;274;NA;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;NA
44;9179;4217;<10000;Female;65+;Retired;PrimarySchool;1;1;0;FALSE;3;4;632;514;OtherMeetings;Home;12:00:00;12:30:00;30;Walk;Πέμπτη;3347;4338;0;659;4351;0;659;4351;0;1646;659;1;125;176;600;748;NA;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA
45;9320;4281;<10000;Female;35-44;Houseworks;University;3;3;1;TRUE;2;3;174;243;Leisure;Home;15:30:00;16:15:00;45;Walk;Πέμπτη;3345;4308;0;724;4419;0;724;4419;0;1286;724;1;795;4013;491;584;NA;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;NA
46;3875;1752;<10000;Male;16-24;Student;Lyceum;1;1;1;FALSE;2;3;173;244;Shopping;Home;17:00:00;17:30:00;30;Walk;Κυριακή;3341;4202;0;872;4939;0;872;4939;0;1359;872;1;182;188;318;375;NA;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;NA
47;9470;4350;<10000;Male;25-34;Employed;University;1;1;1;FALSE;4;5;213;128;Work;Home;21:00:00;21:55:00;55;Walk;Πέμπτη;3323;4163;0;748;4381;0;748;4381;0;1651;748;1;101;140;502;563;NA;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;NA
48;4692;2145;<10000;Female;45-54;Unemployed;Lyceum;4;4;1;TRUE;3;4;621;187;Home;Leisure;18:00:00;18:30:00;30;Walk;Δευτέρα;3277;4411;0;933;7927;0;933;7927;0;1956;933;2;197;276;168;212;NA;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;NA
49;9044;4156;ΔΞ/ΔΑ;Female;35-44;Houseworks;Lyceum;4;2;1;TRUE;2;3;607;520;DropSomebody;Home;9:15:00;9:25:00;10;Walk;Πέμπτη;3256;3955;0;570;5836;0;570;5836;0;2680;570;2;863;1128;266;286;NA;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA
50;1831;867;10000-20000;Male;65+;Retired;University;4;4;1;TRUE;2;3;634;701;Shopping;Home;9:20:00;9:35:00;15;Walk;Πέμπτη;3245;4380;0;455;5102;0;455;5102;0;1438;455;2;162;211;101;132;NA;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;NA
51;5091;2317;ΔΞ/ΔΑ;Female;35-44;Employed;University;2;2;1;TRUE;2;3;116;226;HomeWork;Home;20:00:00;21:30:00;90;Walk;Τρίτη;3240;4210;0;853;4813;0;853;4813;0;1778;853;1;282;380;169;203;NA;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NA
52;6013;2726;<10000;Male;25-34;Employed;University;1;1;1;FALSE;1;2;309;406;Home;Work;8:30:00;9:00:00;30;Walk;Τετάρτη;3189;4093;0;795;4761;0;795;4761;0;2876;795;2;276;379;397;497;NA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;NA
53;6015;2726;<10000;Male;25-34;Employed;University;1;1;1;FALSE;3;4;309;406;Home;Work;17:30:00;18:00:00;30;Walk;Τετάρτη;3189;4093;0;795;4761;0;795;4761;0;2876;795;2;276;379;397;497;NA;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;NA
54;5803;2627;ΔΞ/ΔΑ;Female;25-34;Houseworks;University;5;5;0;TRUE;1;2;629;913;Home;Sports;10:00:00;10:30:00;30;Walk;Τετάρτη;3186;4057;0;708;4305;0;708;4305;0;1877;708;1;1151;5458;726;982;NA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;NA
55;7454;3426;10000-20000;Female;55-64;Employed;Lyceum;3;1;1;TRUE;1;2;612;633;Home;Sports;21:00:00;21:15:00;15;Walk;Σάββατο;3167;4221;0;700;4365;0;700;4365;0;1800;700;1;288;382;443;610;NA;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;NA
